id,immOpt,delOpt,delay,task,p_imm
149,7.340084155020531,10.0,1.0,loss,0.5
150,7.3492260775542,10.0,1.0,loss,0.7
151,5.788751400691998,10.0,2.0,loss,0.3
152,5.797893323225668,10.0,2.0,loss,0.5
153,5.807035245759337,10.0,2.0,loss,0.7
154,4.782088362216413,10.0,3.0,loss,0.3
155,4.791230284750083,10.0,3.0,loss,0.5
156,4.800372207283752,10.0,3.0,loss,0.7
157,3.54715840073727,10.0,5.0,loss,0.3
158,3.556300323270939,10.0,5.0,loss,0.5
159,3.5654422458046082,10.0,5.0,loss,0.7
160,2.1535710880327885,10.0,10.0,loss,0.3
161,2.1627130105664576,10.0,10.0,loss,0.5
162,2.1718549331001267,10.0,10.0,loss,0.7
163,1.2033255406223622,10.0,20.0,loss,0.3
164,1.2124674631560315,10.0,20.0,loss,0.5
165,1.2216093856897008,10.0,20.0,loss,0.7
166,0.5138949760203507,10.0,50.0,loss,0.3
167,0.52303689855402,10.0,50.0,loss,0.5
168,0.5321788210876893,10.0,50.0,loss,0.7
169,11.000984309997127,15.0,1.0,loss,0.3
170,11.010126232530796,15.0,1.0,loss,0.5
171,11.019268155064465,15.0,1.0,loss,0.7
172,8.687698062304833,15.0,2.0,loss,0.3
173,8.696839984838501,15.0,2.0,loss,0.5
174,8.70598190737217,15.0,2.0,loss,0.7
175,7.177703504591454,15.0,3.0,loss,0.3
176,7.186845427125124,15.0,3.0,loss,0.5
177,7.195987349658793,15.0,3.0,loss,0.7
178,5.325308562372739,15.0,5.0,loss,0.3
179,5.334450484906409,15.0,5.0,loss,0.5
180,5.343592407440078,15.0,5.0,loss,0.7
181,3.234927593316017,15.0,10.0,loss,0.3
182,3.244069515849686,15.0,10.0,loss,0.5
183,3.2532114383833552,15.0,10.0,loss,0.7
184,1.809559272200378,15.0,20.0,loss,0.3
185,1.8187011947340472,15.0,20.0,loss,0.5
186,1.8278431172677165,15.0,20.0,loss,0.7
187,0.7754134252973608,15.0,50.0,loss,0.3
188,0.7845553478310301,15.0,50.0,loss,0.5
189,0.7936972703646994,15.0,50.0,loss,0.7
190,14.671026387507393,20.0,1.0,loss,0.3
191,14.680168310041061,20.0,1.0,loss,0.5
192,14.68931023257473,20.0,1.0,loss,0.7
193,11.586644723917667,20.0,2.0,loss,0.3
194,11.595786646451335,20.0,2.0,loss,0.5
195,11.604928568985004,20.0,2.0,loss,0.7
196,9.573318646966497,20.0,3.0,loss,0.3
197,9.582460569500165,20.0,3.0,loss,0.5
198,9.591602492033834,20.0,3.0,loss,0.7
