id,immOpt,delOpt,delay,task,p_imm
131,2.5754154673911387,5.0,2.0,loss,0.5
132,2.5876268342455817,5.0,2.0,loss,0.7
133,2.0606269325927937,5.0,3.0,loss,0.3
134,2.0728382994472367,5.0,3.0,loss,0.5
135,2.0850496663016798,5.0,3.0,loss,0.7
136,1.4787300506005234,5.0,5.0,loss,0.3
137,1.4909414174549664,5.0,5.0,loss,0.5
138,1.5031527843094095,5.0,5.0,loss,0.7
139,0.8638793328343529,5.0,10.0,loss,0.3
140,0.8760906996887958,5.0,10.0,loss,0.5
141,0.8883020665432387,5.0,10.0,loss,0.7
142,0.46789571819676073,5.0,20.0,loss,0.3
143,0.4801070850512037,5.0,20.0,loss,0.5
144,0.49231845190564666,5.0,20.0,loss,0.7
145,0.19157200822923715,5.0,50.0,loss,0.3
146,0.2037833750836801,5.0,50.0,loss,0.5
147,0.21599474193812307,5.0,50.0,loss,0.7
148,6.7871925166082665,10.0,1.0,loss,0.3
149,6.799403883462709,10.0,1.0,loss,0.5
150,6.811615250317152,10.0,1.0,loss,0.7
151,5.138619567927835,10.0,2.0,loss,0.3
152,5.150830934782277,10.0,2.0,loss,0.5
153,5.16304230163672,10.0,2.0,loss,0.7
154,4.133465232040031,10.0,3.0,loss,0.3
155,4.1456765988944735,10.0,3.0,loss,0.5
156,4.157887965748916,10.0,3.0,loss,0.7
157,2.96967146805549,10.0,5.0,loss,0.3
158,2.981882834909933,10.0,5.0,loss,0.5
159,2.994094201764376,10.0,5.0,loss,0.7
160,1.7399700325231486,10.0,10.0,loss,0.3
161,1.7521813993775917,10.0,10.0,loss,0.5
162,1.7643927662320347,10.0,10.0,loss,0.7
163,0.9480028032479645,10.0,20.0,loss,0.3
164,0.9602141701024074,10.0,20.0,loss,0.5
165,0.9724255369568503,10.0,20.0,loss,0.7
166,0.39535538331291725,10.0,50.0,loss,0.3
167,0.4075667501673602,10.0,50.0,loss,0.5
168,0.4197781170218032,10.0,50.0,loss,0.7
169,10.186894458339621,15.0,1.0,loss,0.3
170,10.199105825194064,15.0,1.0,loss,0.5
171,10.211317192048506,15.0,1.0,loss,0.7
172,7.714035035318974,15.0,2.0,loss,0.3
173,7.726246402173417,15.0,2.0,loss,0.5
174,7.7384577690278595,15.0,2.0,loss,0.7
175,6.206303531487268,15.0,3.0,loss,0.3
176,6.21851489834171,15.0,3.0,loss,0.5
177,6.230726265196153,15.0,3.0,loss,0.7
178,4.460612885510457,15.0,5.0,loss,0.3
179,4.4728242523649,15.0,5.0,loss,0.5
180,4.485035619219342,15.0,5.0,loss,0.7
181,2.6160607322119445,15.0,10.0,loss,0.3
182,2.6282720990663875,15.0,10.0,loss,0.5
183,2.6404834659208305,15.0,10.0,loss,0.7
184,1.428109888299168,15.0,20.0,loss,0.3
185,1.440321255153611,15.0,20.0,loss,0.5
186,1.452532622008054,15.0,20.0,loss,0.7
187,0.5991387583965974,15.0,50.0,loss,0.3
188,0.6113501252510403,15.0,50.0,loss,0.5
189,0.6235614921054832,15.0,50.0,loss,0.7
190,13.586596400070976,20.0,1.0,loss,0.3
191,13.598807766925418,20.0,1.0,loss,0.5
192,13.61101913377986,20.0,1.0,loss,0.7
193,10.289450502710112,20.0,2.0,loss,0.3
194,10.301661869564555,20.0,2.0,loss,0.5
195,10.313873236418997,20.0,2.0,loss,0.7
196,8.279141830934504,20.0,3.0,loss,0.3
197,8.291353197788947,20.0,3.0,loss,0.5
198,8.30356456464339,20.0,3.0,loss,0.7
199,5.951554302965423,20.0,5.0,loss,0.3
200,5.963765669819866,20.0,5.0,loss,0.5
201,5.975977036674308,20.0,5.0,loss,0.7
202,3.4921514319007403,20.0,10.0,loss,0.3
203,3.5043627987551833,20.0,10.0,loss,0.5
204,3.5165741656096263,20.0,10.0,loss,0.7
205,1.9082169733503718,20.0,20.0,loss,0.3
206,1.9204283402048148,20.0,20.0,loss,0.5
207,1.9326397070592578,20.0,20.0,loss,0.7
208,0.8029221334802775,20.0,50.0,loss,0.3
209,0.8151335003347204,20.0,50.0,loss,0.5
210,0.8273448671891633,20.0,50.0,loss,0.7
