id,immOpt,delOpt,delay,task,p_imm
1,0.26189588052267976,1.0,1.0,reward,0.3
2,0.9517700028595374,1.0,1.0,reward,0.5
3,1.641644125196395,1.0,1.0,reward,0.7
4,0.21810409375687656,1.0,2.0,reward,0.3
5,0.9079782160937342,1.0,2.0,reward,0.5
6,1.5978523384305916,1.0,2.0,reward,0.7
7,0.1781648465483886,1.0,3.0,reward,0.3
8,0.8680389688852462,1.0,3.0,reward,0.5
9,1.5579130912221038,1.0,3.0,reward,0.7
10,0.10797486333313977,1.0,5.0,reward,0.3
11,0.7978489856699974,1.0,5.0,reward,0.5
12,1.487723108006855,1.0,5.0,reward,0.7
13,-0.02618962998989216,1.0,10.0,reward,0.3
14,0.6636844923469655,1.0,10.0,reward,0.5
15,1.353558614683823,1.0,10.0,reward,0.7
16,-0.19322158141664347,1.0,20.0,reward,0.3
17,0.49665254092021416,1.0,20.0,reward,0.5
18,1.1865266632570717,1.0,20.0,reward,0.7
19,-0.4068846381410398,1.0,50.0,reward,0.3
20,0.2829894841958178,1.0,50.0,reward,0.5
21,0.9728636065326753,1.0,50.0,reward,0.7
22,4.06897589196083,5.0,1.0,reward,0.3
23,4.758850014297687,5.0,1.0,reward,0.5
24,5.448724136634545,5.0,1.0,reward,0.7
25,3.850016958131813,5.0,2.0,reward,0.3
26,4.539891080468671,5.0,2.0,reward,0.5
27,5.229765202805528,5.0,2.0,reward,0.7
28,3.650320722089374,5.0,3.0,reward,0.3
29,4.3401948444262315,5.0,3.0,reward,0.5
30,5.030068966763089,5.0,3.0,reward,0.7
31,3.2993708060131293,5.0,5.0,reward,0.3
32,3.989244928349987,5.0,5.0,reward,0.5
33,4.679119050686844,5.0,5.0,reward,0.7
34,2.6285483393979696,5.0,10.0,reward,0.3
35,3.3184224617348272,5.0,10.0,reward,0.5
36,4.008296584071685,5.0,10.0,reward,0.7
37,1.793388582264213,5.0,20.0,reward,0.3
38,2.4832627046010707,5.0,20.0,reward,0.5
39,3.1731368269379283,5.0,20.0,reward,0.7
40,0.7250732986422315,5.0,50.0,reward,0.3
41,1.414947420979089,5.0,50.0,reward,0.5
42,2.1048215433159467,5.0,50.0,reward,0.7
43,8.827825906258518,10.0,1.0,reward,0.3
44,9.517700028595375,10.0,1.0,reward,0.5
45,10.207574150932231,10.0,1.0,reward,0.7
46,8.389908038600485,10.0,2.0,reward,0.3
47,9.079782160937341,10.0,2.0,reward,0.5
48,9.769656283274198,10.0,2.0,reward,0.7
49,7.990515566515605,10.0,3.0,reward,0.3
50,8.680389688852463,10.0,3.0,reward,0.5
51,9.37026381118932,10.0,3.0,reward,0.7
52,7.288615734363116,10.0,5.0,reward,0.3
53,7.978489856699974,10.0,5.0,reward,0.5
54,8.668363979036831,10.0,5.0,reward,0.7
55,5.946970801132797,10.0,10.0,reward,0.3
56,6.6368449234696545,10.0,10.0,reward,0.5
57,7.326719045806512,10.0,10.0,reward,0.7
58,4.276651286865284,10.0,20.0,reward,0.3
59,4.966525409202141,10.0,20.0,reward,0.5
60,5.656399531538999,10.0,20.0,reward,0.7
61,2.1400207196213206,10.0,50.0,reward,0.3
62,2.829894841958178,10.0,50.0,reward,0.5
63,3.519768964295036,10.0,50.0,reward,0.7
64,13.586675920556203,15.0,1.0,reward,0.3
65,14.27655004289306,15.0,1.0,reward,0.5
66,14.966424165229917,15.0,1.0,reward,0.7
67,12.929799119069155,15.0,2.0,reward,0.3
68,13.619673241406012,15.0,2.0,reward,0.5
69,14.309547363742869,15.0,2.0,reward,0.7
70,12.330710410941837,15.0,3.0,reward,0.3
71,13.020584533278694,15.0,3.0,reward,0.5
72,13.71045865561555,15.0,3.0,reward,0.7
73,11.277860662713103,15.0,5.0,reward,0.3
74,11.967734785049961,15.0,5.0,reward,0.5
75,12.657608907386818,15.0,5.0,reward,0.7
76,9.265393262867626,15.0,10.0,reward,0.3
77,9.955267385204483,15.0,10.0,reward,0.5
78,10.64514150754134,15.0,10.0,reward,0.7
79,6.759913991466354,15.0,20.0,reward,0.3
80,7.449788113803212,15.0,20.0,reward,0.5
81,8.139662236140069,15.0,20.0,reward,0.7
82,3.554968140600409,15.0,50.0,reward,0.3
83,4.244842262937267,15.0,50.0,reward,0.5
84,4.9347163852741245,15.0,50.0,reward,0.7
85,18.345525934853892,20.0,1.0,reward,0.3
86,19.03540005719075,20.0,1.0,reward,0.5
87,19.725274179527606,20.0,1.0,reward,0.7
88,17.469690199537826,20.0,2.0,reward,0.3
89,18.159564321874683,20.0,2.0,reward,0.5
90,18.84943844421154,20.0,2.0,reward,0.7
91,16.67090525536807,20.0,3.0,reward,0.3
92,17.360779377704926,20.0,3.0,reward,0.5
93,18.050653500041783,20.0,3.0,reward,0.7
94,15.267105591063089,20.0,5.0,reward,0.3
95,15.956979713399948,20.0,5.0,reward,0.5
96,16.646853835736806,20.0,5.0,reward,0.7
97,12.583815724602452,20.0,10.0,reward,0.3
98,13.273689846939309,20.0,10.0,reward,0.5
99,13.963563969276166,20.0,10.0,reward,0.7
100,9.243176696067426,20.0,20.0,reward,0.3
101,9.933050818404283,20.0,20.0,reward,0.5
102,10.62292494074114,20.0,20.0,reward,0.7
103,4.969915561579499,20.0,50.0,reward,0.3
104,5.659789683916356,20.0,50.0,reward,0.5
105,6.349663806253214,20.0,50.0,reward,0.7
106,0.9796952748400318,1.0,1.0,loss,0.3
107,0.9891786694797774,1.0,1.0,loss,0.5
108,0.998662064119523,1.0,1.0,loss,0.7
109,0.9691056394585885,1.0,2.0,loss,0.3
110,0.9785890340983341,1.0,2.0,loss,0.5
111,0.9880724287380797,1.0,2.0,loss,0.7
112,0.9587403368089725,1.0,3.0,loss,0.3
113,0.9682237314487181,1.0,3.0,loss,0.5
114,0.9777071260884637,1.0,3.0,loss,0.7
115,0.9386548073880623,1.0,5.0,loss,0.3
116,0.9481382020278079,1.0,5.0,loss,0.5
117,0.9576215966675534,1.0,5.0,loss,0.7
118,0.89190707686103,1.0,10.0,loss,0.3
119,0.9013904715007756,1.0,10.0,loss,0.5
120,0.9108738661405211,1.0,10.0,loss,0.7
121,0.8109996324209576,1.0,20.0,loss,0.3
122,0.8204830270607032,1.0,20.0,loss,0.5
123,0.8299664217004488,1.0,20.0,loss,0.7
124,0.6369350175170385,1.0,50.0,loss,0.3
125,0.6464184121567841,1.0,50.0,loss,0.5
126,0.6559018067965297,1.0,50.0,loss,0.7
127,4.936409952759142,5.0,1.0,loss,0.3
128,4.945893347398887,5.0,1.0,loss,0.5
129,4.9553767420386325,5.0,1.0,loss,0.7
130,4.883461775851925,5.0,2.0,loss,0.3
131,4.892945170491671,5.0,2.0,loss,0.5
132,4.902428565131416,5.0,2.0,loss,0.7
133,4.831635262603846,5.0,3.0,loss,0.3
134,4.841118657243591,5.0,3.0,loss,0.5
135,4.850602051883336,5.0,3.0,loss,0.7
136,4.731207615499294,5.0,5.0,loss,0.3
137,4.740691010139039,5.0,5.0,loss,0.5
138,4.750174404778784,5.0,5.0,loss,0.7
139,4.497468962864133,5.0,10.0,loss,0.3
140,4.506952357503878,5.0,10.0,loss,0.5
141,4.516435752143623,5.0,10.0,loss,0.7
142,4.09293174066377,5.0,20.0,loss,0.3
143,4.102415135303516,5.0,20.0,loss,0.5
144,4.111898529943261,5.0,20.0,loss,0.7
145,3.2226086661441746,5.0,50.0,loss,0.3
146,3.2320920607839203,5.0,50.0,loss,0.5
147,3.241575455423666,5.0,50.0,loss,0.7
148,9.882303300158028,10.0,1.0,loss,0.3
149,9.891786694797775,10.0,1.0,loss,0.5
150,9.90127008943752,10.0,1.0,loss,0.7
