"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"1862","80","0.35","5.00","20","loss","0","html-keyboard-response","0","1864","0.0-0.0-0.0","delayed","trial"
"2722","81","1.00","1.00","50","reward","0","html-keyboard-response","3","6831","0.0-0.0-0.1","immediate","trial"
"1953","81","12.09","15.00","3","reward","1","html-keyboard-response","6","11039","0.0-0.0-0.2","delayed","trial"
"2699","81","3.91","1.00","3","reward","0","html-keyboard-response","9","15997","0.0-0.0-0.3","immediate","trial"
"1947","81","1.96","15.00","10","loss","1","html-keyboard-response","12","20194","0.0-0.0-0.4","delayed","trial"
"1603","81","1.00","1.00","20","reward","0","html-keyboard-response","15","24049","0.0-0.0-0.5","immediate","trial"
"2268","80","17.09","20.00","1","reward","0","html-keyboard-response","18","28575","0.0-0.0-0.6","delayed","trial"
"3521","80","4.31","10.00","2","loss","0","html-keyboard-response","21","34347","0.0-0.0-0.7","delayed","trial"
"3728","81","8.58","20.00","2","loss","1","html-keyboard-response","24","40336","0.0-0.0-0.8","delayed","trial"
"2312","80","0.34","1.00","3","loss","0","html-keyboard-response","27","44909","0.0-0.0-0.9","delayed","trial"
"748","81","5.00","5.00","3","reward","0","html-keyboard-response","30","47895","0.0-0.0-0.10","immediate","trial"
"678","81","2.63","20.00","10","loss","1","html-keyboard-response","33","50815","0.0-0.0-0.11","delayed","trial"
"890","81","3.91","1.00","20","reward","0","html-keyboard-response","36","53959","0.0-0.0-0.12","immediate","trial"
"728","80","0.13","1.00","10","loss","0","html-keyboard-response","39","56934","0.0-0.0-0.13","delayed","trial"
