"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"1283","80","16.67","20.00","2","reward","1","html-keyboard-response","188","242284","0.0-3.0-0.56","immediate","trial"
"1507","80","-0.91","-1.00","1","loss","1","html-keyboard-response","191","245648","0.0-3.0-0.57","immediate","trial"
"2069","80","-4.76","-5.00","5","loss","1","html-keyboard-response","194","249569","0.0-3.0-0.58","immediate","trial"
"1402","81","0.67","1.00","50","reward","0","html-keyboard-response","197","252833","0.0-3.0-0.59","immediate","trial"
"2242","80","-0.16","-5.00","10","loss","1","html-keyboard-response","200","256934","0.0-3.0-0.60","immediate","trial"
"2173","81","3.33","20.00","10","reward","0","html-keyboard-response","203","260964","0.0-3.0-0.61","immediate","trial"
"2885","81","-1.43","-10.00","20","loss","0","html-keyboard-response","206","265706","0.0-3.0-0.62","immediate","trial"
"2552","80","-6.67","-10.00","50","loss","1","html-keyboard-response","209","270103","0.0-3.0-0.63","immediate","trial"
"963","80","0.63","10.00","50","reward","0","html-keyboard-response","212","272923","0.0-3.0-0.64","delayed","trial"
"1613","80","-5.00","-10.00","10","loss","1","html-keyboard-response","215","276394","0.0-3.0-0.65","immediate","trial"
"2459","80","-0.32","-10.00","10","loss","1","html-keyboard-response","218","280698","0.0-3.0-0.66","immediate","trial"
"1997","81","-10.00","-20.00","10","loss","0","html-keyboard-response","221","284546","0.0-3.0-0.67","immediate","trial"
"2749","80","10.00","20.00","10","reward","0","html-keyboard-response","224","289150","0.0-3.0-0.68","delayed","trial"
"3345","80","13.33","20.00","5","reward","0","html-keyboard-response","227","294346","0.0-3.0-0.69","delayed","trial"
"3782","81","6.67","10.00","1","reward","1","html-keyboard-response","230","299981","0.0-3.0-0.70","delayed","trial"
"1135","80","0.17","1.00","10","reward","1","html-keyboard-response","233","302976","0.0-3.0-0.71","immediate","trial"
"1310","80","1.67","5.00","2","reward","0","html-keyboard-response","236","306141","0.0-3.0-0.72","delayed","trial"
"3101","80","-1.43","-10.00","2","loss","1","html-keyboard-response","239","311101","0.0-3.0-0.73","immediate","trial"
"2002","81","1.25","5.00","1","reward","1","html-keyboard-response","242","314961","0.0-3.0-0.74","delayed","trial"
"3975","80","0.53","1.00","3","reward","1","html-keyboard-response","245","320796","0.0-3.0-0.75","immediate","trial"
"922","81","-2.50","-10.00","1","loss","0","html-keyboard-response","248","323558","0.0-3.0-0.76","immediate","trial"
"1337","81","0.24","5.00","20","reward","1","html-keyboard-response","251","326758","0.0-3.0-0.77","delayed","trial"
"1521","81","-3.33","-5.00","50","loss","0","html-keyboard-response","254","330120","0.0-3.0-0.78","immediate","trial"
"3677","80","-2.86","-10.00","5","loss","1","html-keyboard-response","257","335657","0.0-3.0-0.79","immediate","trial"
"1450","80","-0.71","-5.00","2","loss","1","html-keyboard-response","260","338950","0.0-3.0-0.80","immediate","trial"
"2191","81","-0.67","-1.00","50","loss","1","html-keyboard-response","263","342992","0.0-3.0-0.81","delayed","trial"
"2207","81","0.31","5.00","50","reward","1","html-keyboard-response","266","347056","0.0-3.0-0.82","delayed","trial"
"2383","81","-0.03","-1.00","10","loss","0","html-keyboard-response","269","351313","0.0-3.0-0.83","immediate","trial"
"1027","80","-0.33","-20.00","20","loss","1","html-keyboard-response","272","354186","0.0-3.0-0.84","immediate","trial"
"2561","81","0.32","10.00","10","reward","1","html-keyboard-response","275","358601","0.0-3.0-0.85","delayed","trial"
"983","81","-5.00","-20.00","1","loss","0","html-keyboard-response","278","361442","0.0-3.0-0.86","immediate","trial"
"1600","80","2.50","5.00","2","reward","0","html-keyboard-response","281","364896","0.0-3.0-0.87","delayed","trial"
"2281","80","0.17","1.00","50","reward","1","html-keyboard-response","284","369020","0.0-3.0-0.88","immediate","trial"
"1545","81","0.95","20.00","20","reward","1","html-keyboard-response","287","372424","0.0-3.0-0.89","delayed","trial"
"1414","81","4.17","5.00","2","reward","1","html-keyboard-response","290","375693","0.0-3.0-0.90","delayed","trial"
"1265","80","-0.91","-10.00","10","loss","1","html-keyboard-response","293","378814","0.0-3.0-0.91","immediate","trial"
"1121","81","5.00","10.00","1","reward","1","html-keyboard-response","296","381790","0.0-3.0-0.92","delayed","trial"
"1193","80","-1.43","-5.00","5","loss","1","html-keyboard-response","299","384842","0.0-3.0-0.93","immediate","trial"
"835","81","5.00","20.00","10","reward","1","html-keyboard-response","302","387525","0.0-3.0-0.94","delayed","trial"
"2361","81","2.50","10.00","3","reward","1","html-keyboard-response","305","391751","0.0-3.0-0.95","delayed","trial"
"836","80","-0.06","-1.00","50","loss","1","html-keyboard-response","308","394446","0.0-3.0-0.96","immediate","trial"
"1092","80","-0.29","-1.00","5","loss","1","html-keyboard-response","311","397390","0.0-3.0-0.97","immediate","trial"
"1968","80","4.17","5.00","20","reward","0","html-keyboard-response","314","401208","0.0-3.0-0.98","delayed","trial"
"2033","80","0.13","20.00","50","reward","0","html-keyboard-response","317","405111","0.0-3.0-0.99","delayed","trial"
"919","81","-1.25","-20.00","50","loss","0","html-keyboard-response","320","407887","0.0-3.0-0.100","immediate","trial"
"1306","81","-2.86","-20.00","20","loss","0","html-keyboard-response","323","411045","0.0-3.0-0.101","immediate","trial"
"1772","81","-0.97","-1.00","3","loss","1","html-keyboard-response","326","414670","0.0-3.0-0.102","delayed","trial"
"942","80","-6.67","-10.00","5","loss","1","html-keyboard-response","329","417471","0.0-3.0-0.103","immediate","trial"
"2709","80","-9.90","-10.00","1","loss","1","html-keyboard-response","332","422023","0.0-3.0-0.104","immediate","trial"
"2280","81","-0.14","-1.00","2","loss","1","html-keyboard-response","335","426156","0.0-3.0-0.105","delayed","trial"
"1529","80","-4.00","-10.00","3","loss","1","html-keyboard-response","338","429547","0.0-3.0-0.106","immediate","trial"
"3930","81","-0.09","-1.00","10","loss","0","html-keyboard-response","341","435328","0.0-3.0-0.107","immediate","trial"
"1748","81","0.95","1.00","5","reward","0","html-keyboard-response","344","438928","0.0-3.0-0.108","immediate","trial"
"811","80","-0.83","-5.00","10","loss","1","html-keyboard-response","347","441598","0.0-3.0-0.109","immediate","trial"
"1774","81","0.91","1.00","1","reward","0","html-keyboard-response","350","445233","0.0-3.0-0.110","immediate","trial"
"1369","81","-0.16","-10.00","20","loss","0","html-keyboard-response","353","448469","0.0-3.0-0.111","immediate","trial"
"4127","80","-0.48","-10.00","20","loss","1","html-keyboard-response","356","454445","0.0-3.0-0.112","immediate","trial"
"null","null","-0.33","-1.00","2","loss","0","html-keyboard-response","359","461308","0.0-3.0-0.113","","trial"
"1420","80","1.67","10.00","10","reward","0","html-keyboard-response","362","464579","0.0-3.0-0.114","delayed","trial"
"931","81","10.00","20.00","2","reward","1","html-keyboard-response","365","467369","0.0-3.0-0.115","delayed","trial"
"3703","81","-3.33","-20.00","10","loss","0","html-keyboard-response","368","472922","0.0-3.0-0.116","immediate","trial"
"1856","81","-16.67","-20.00","20","loss","0","html-keyboard-response","371","476644","0.0-3.0-0.117","immediate","trial"
